Year,Project Name,Token Ticker,Listing Date (First TT Data),Market Cap at Listing ($),Market Cap 12 Months After ($),FDV at Listing ($),FDV 12 Months After ($),MC / FDV at Listing,MC / FDV 12 Months After,Average Market Cap (Both Dates) ($),Sector / Vertical,Token Price at Listing ($),Token Price 12 Months After ($),Change in Token Price after 12 Months,Qualifies Because,Market Cap 6 Months After ($),Market Cap 24 Months After ($),FDV 6 Months After ($),FDV 24 Months After ($),Token Price 6 Months After ($),Token Price 24 Months After ($)
2013,Litecoin,LTC,4/27/13,"$73,773,387 ","$282,568,098 ","$361,200,000 ","$848,400,000 ",20.40%,33.30%,"$178,170,743 ",Layer 1 (blockchains-l1),$4.30 ,$10.10 ,135%,MC at 12 months > $100M,"$50,528,934.00 ","$53,549,818.00 ","$188,934,480.00 ","$116,725,308.00 ",$2.25 ,$1.39 
2014,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
2015,Ethereum,ETH,8/7/15,"$80,339,475 ","$931,042,242 ","$82,686,335 ","$1,352,375,991 ",97.20%,68.80%,"$505,690,859 ",Layer 1 (blockchains-l1),$1.30 ,$11.20 ,762%,MC at 12 months > $100M,"$226,795,324.00 ","$25,197,894,463.00 ","$233,420,421.74 ","$25,933,970,104.51 ",$2.95 ,$268.50 
2016,Lisk,LSK,5/25/16,"$48,546,910 ","$116,160,880 ","$48,546,910 ","$108,059,889 ",100.00%,107.50%,"$82,353,895 ",Layer 1 (blockchains-l1),$0.50 ,$1.10 ,120%,MC at 12 months > $100M,"$16,257,607.00 ","$993,852,036.00 ","$16,257,607.00 ","$993,852,036.00 ",$0.16 ,$9.35 
2016,Zcash,ZEC,10/28/16,"$1,371,289 ","$589,302,119 ","$67,029,900,000 ","$4,937,100,000 ",0.00%,11.90%,"$295,336,704 ",Layer 1 (blockchains-l1),"$3,191.90 ",$235.10 ,-93%,MC at 12 months > $100M,"$100,232,386.00 ","$607,161,496.00 ","$1,771,980,000.00 ","$2,496,152,400.00 ",$84.38 ,$118.86 
2017,Gnosis,GNO,4/30/17,"$82,641,226 ","$126,920,304 ","$1,212,777,982 ","$1,149,026,370 ",6.80%,11.00%,"$104,780,765 ",Layer 1 (blockchains-l1),$74.80 ,$114.90 ,54%,MC at 12 months > $100M,"$82,314,807.00 ","$15,990,698.00 ","$1,207,987,712.12 ","$234,666,974.22 ",$74.52 ,$14.48 
2017,Brave,BRAVE,6/7/17,"$224,076,193 ","$315,909,645 ","$336,114,289 ","$414,411,410 ",66.70%,76.20%,"$269,992,919 ",Infrastructure,$0.20 ,$0.30 ,50%,MC at listing > $100M,"$186,671,911.00 ","$418,048,896.00 ","$280,007,866.08 ","$627,073,343.07 ",$0.19 ,$0.33 
2017,Aragon,ANT,6/13/17,"$108,947,236 ","$62,378,249 ","$128,413,231 ","$87,585,543 ",84.80%,71.20%,"$85,662,743 ",Governance (other),$3.20 ,$2.20 ,-31%,MC at listing > $100M,"$89,281,747.00 ","$22,094,412.00 ","$105,234,038.26 ","$26,042,100.16 ",$2.75 ,$0.67 
2017,IOTA,MIOTA,6/13/17,"$1,461,960,661 ","$3,350,415,912 ","$1,461,960,661 ","$3,350,415,912 ",100.00%,100.00%,"$2,406,188,287 ",Layer 1 (blockchains-l1),$0.50 ,$1.20 ,140%,MC at listing > $100M,"$11,079,795,175.00 ","$1,211,588,604.00 ","$11,079,795,175.00 ","$1,211,588,604.00 ",$3.99 ,$0.44 
2017,Bancor,BNT,6/26/17,"$122,394,018 ","$147,367,325 ","$240,697,719 ","$215,099,235 ",50.80%,68.50%,"$134,880,671 ",Exchange (CEX/DEX),$3.00 ,$2.80 ,-7%,MC at listing > $100M,"$212,747,717.00 ","$52,488,494.00 ","$418,385,563.62 ","$103,222,861.59 ",$5.22 ,$0.80 
