Deal ID,Companies,Verticals,Company Country/Territory/Region,Year Founded,Company City,HQ Global Sub Region,HQ Global Region,HQ Location,Primary PitchBook Industry Code,Primary PitchBook Industry Group,Primary PitchBook Industry Sector,Deal Date,Time to Exit,Deal Type,Post Valuation,Raised to Date,Description,Investors,Shock_Category,Shock_Subcategory,Causal_Justification
318945-43T,EGYM,"HealthTech, LOHAS & Wellness, TMT",United States,2010,Denver,North America,Americas,"Denver, CO",Business/Productivity Software,Software,Information Technology,31-Mar-26,16,Buyout/LBO,7500,627.42,"Developer of a professional fitness platform designed to transform healthcare from repair to prevention by building a bridge connecting corporate fitness. The company's platform offers a vertically integrated market in the fitness and health industry and its motions for corporate fitness and gym tech, enabling fitness enthusiasts, clients with varied workout and differentiated consumer experience with benefits for employees, employers, and gym operators.","Affinity Partners (Miami)(Jared Kushner), L Catterton(Marc Magliacano), Mindbody(Fritz Lanman), Owl Rock Capital Group, Sixth Street Partners, Stanford Angels and Entrepreneurs, Temasek Holdings, Trancos Ventures, Vista Equity Partners(Maneet Saroya)",Technology Shock,Cloud Computing,Cloud-based fitness platform with vertically integrated SaaS model for corporate wellness; business built on post-AWS cloud infrastructure.
295048-90T,Tongshifu (HKG: 0664),Manufacturing,China,2013,Hangzhou,East Asia,Asia,"Hangzhou, China",Home Furnishings,Consumer Durables,Consumer Products and Services (B2C),31-Mar-26,13,IPO,493.73,73.27,"Hangzhou Tongshifu Cultural and Creative Group Co Ltd designs and develops, produces and manufactures various types of copper handicrafts, including the brands of TONGSHIFU, TAITONG, HAPPY GENERAL, etc. Its offerings are used for gifting, festive occasions, personal milestones, and corporate events. The portfolio also includes limited-edition items, including those based on proprietary designs, as well as copper-engraved artworks used in commercial and office spaces and furniture. The company's product categories include (i) copper-based cultural and creative products, (ii) plastic figures and toys, (iii) silver cultural and creative products, and (iv) gold cultural and creative products. The majority of the revenue is derived from the sale of Copper-based cultural and creative products.",JIC Trust,Other,N/A,Traditional copper handicrafts manufacturer; physical product company not triggered by any shock catalyst.
324141-40T,Koala AU Operations (ASX: KOA),"E-Commerce, Manufacturing",Australia,2015,Alexandria,Oceania,Oceania,"Alexandria, Australia",Home Furnishings,Consumer Durables,Consumer Products and Services (B2C),31-Mar-26,11,IPO,214.02,76.22,"The Koala Co Ltd is Australia's Furniture design and sales via a DTC (direct-to-consumer) digital native business model. The group differentiated itself through its design process, functional product range, and DTC model. Its products are Mattresses, Bed Bases, Bedroom, Living Room, and Others. The company expanded its product range to furniture categories, including its seating furniture (comprising sofas, sofa beds, and armchairs). It currently operates in four geographies: Australia, Japan, the U.S, and the UK. Koala considers Australia and Japan.",,Other,N/A,"Direct-to-consumer mattress and furniture brand; physical product company like Casper, not triggered by a specific shock catalyst."
326780-29T,FourSemi (HKG: 03625),"AudioTech, Manufacturing",China,2016,Shanghai,East Asia,Asia,"Shanghai, China",Application Specific Semiconductors,Semiconductors,Information Technology,31-Mar-26,10,IPO,572.38,78.36,"Shanghai FourSemi Semiconductor Co Ltd, along with its subsidiaries, is principally engaged in the design, research and development, and sale of perceptual-intelligence chips focusing on power amplifier audio and haptic driver in China. It specializes in the design of low-power audio chips, mid/high-power audio chips and haptic drivers under a fabless model to offer a range of solutions for various application scenarios. The company's product portfolio includes automotive intelligent audio chips, medium-to-high power intelligent audio chips, portable intelligent audio chips, haptic feedback chips, and power chips. The majority of the company's revenue is derived from the sale of Low-power audio chips. Geographically, all of its revenue is derived from the PRC.",,Other,N/A,Fabless audio/haptic chip designer; semiconductor hardware company not triggered by any shock catalyst in typology.
305407-99T,Shenglong Shares (SHE: 001257),Manufacturing,China,2020,Luoyang,East Asia,Asia,"Luoyang, China",Multi-line Mining,"Metals, Minerals and Mining",Materials and Resources,31-Mar-26,6,IPO,2082.13,202.87,"Developer of mineral resource extraction designed for different industries. The company mainly operates in metal ores, mining engineering, production of metal functional materials, and other related businesses, providing industry users with mining resources.",,Other,N/A,Metal ore mining and mineral extraction company; traditional resources business not triggered by any shock catalyst.
305524-09T,Epiworld (HKG: 02726),Manufacturing,China,2011,Xiamen,East Asia,Asia,"Xiamen, China",Production (Semiconductors),Semiconductors,Information Technology,30-Mar-26,15,IPO,4147.06,238.61,"Epiworld International Co Ltd is engaged in the silicon carbide (SiC) epitaxy industry. Its knowledge of SiC epitaxy technology enables the company to stay at the frontline of the SiC epitaxy industry and provide high quality and reliable products to its customers. It is engaged in the research and development, mass production and sales of SiC epitaxial wafers, components used in the manufacturing of SiC semiconductor devices. Its customers utilize its SiC epitaxial wafers to manufacture their power devices for a wide range of downstream applications including EVs, charging infrastructure, renewable energy, ESS, among others.",ITG Holding,Other,N/A,Silicon carbide epitaxy semiconductor manufacturer for EV power devices; hardware company not triggered by typology shock catalysts.
309240-64T,V5 Technologies,,Taiwan,2014,Hsinchu,East Asia,Asia,"Hsinchu, Taiwan",Other Semiconductors,Semiconductors,Information Technology,30-Mar-26,12,IPO,1115.27,,"V5 Technologies Co Ltd is engaged in the research, development, production, manufacturing, and sales of electronic design software and hardware tools. The company specializes in the research, development, and manufacturing of semiconductor inspection and measurement equipment, leveraging core technologies such as AI-powered intelligent image analysis and measurement. It operates in Taiwan, Korea, China, and other regions, with Taiwan generating the maximum revenue.",,Other,N/A,Semiconductor inspection and measurement equipment manufacturer; hardware company not triggered by any shock catalyst.
319824-19T,Extreme Vision Technology (HKG: 06636),"Artificial Intelligence & Machine Learning, Big Data",China,2015,Qingdao,East Asia,Asia,"Qingdao, China",Business/Productivity Software,Software,Information Technology,30-Mar-26,11,IPO,577.12,61.2,"Shandong Extreme Vision Technology Co Ltd is an AI computer vision solution provider in China, delivering end-to-end solution development, deployment and management services to enterprises across diverse industries. It specializes in delivering AI computer vision solutions and large model solutions to enterprises: AI Computer Vision Solutions, Large Model Solutions. Computer vision solution, as a vital branch of AI solution, is a technological solution that simulates the human visual system to enable computers to extract information from images or videos and analyze, make decisions and interact based on this information.","George Kent (KLS: 3204), Jinan Zhongcaijin Investment Group",Technology Shock,Cloud Computing,AI computer vision solutions provider delivering end-to-end enterprise AI services; cloud-based AI SaaS model enabled by post-AWS infrastructure.
299923-48T,Diagens Biotechnology (HKG: 02526),"Life Sciences, Oncology",China,2016,Hangzhou,East Asia,Asia,"Hangzhou, China",Medical Supplies,Healthcare Devices and Supplies,Healthcare,30-Mar-26,10,IPO,1276.4,214.9,"Hangzhou Diagens Biotechnology Co Ltd is a medical devices company focusing on developing medical imaging products and services. It has self-developed a diversified portfolio, including six medical imaging software products, three commercialized medical devices, four key reagents and consumables and two technology licensing offerings. Its Core Product, AI AutoVision, is an auxiliary diagnostic software designed to undertake intelligent analysis on chromosome karyotyping which the company intends to sell in China and globally as a customized computer pre-installed with the software.",,Institutional & Regulatory Shock,Health IT / Insurance Expansion,AI-powered medical imaging diagnostic software (AutoVision for chromosome karyotyping); digital health platform enabled by EHR digitization and healthcare IT adoption post-HITECH.
325563-85T,Huayan Robotics (HKG: 01021),"Artificial Intelligence & Machine Learning, Manufacturing, Robotics and Drones",China,2017,Shenzhen,East Asia,Asia,"Shenzhen, China","Computers, Parts and Peripherals",Computer Hardware,Information Technology,30-Mar-26,9,IPO,1180.82,99.21,"Guangdong Huayan Robotics Co Ltd is a collaborative robotics company engaged in the development, manufacturing and sale of collaborative robots (cobots) and core motion components for industrial automation applications. Leveraging its integrated hardware-software product design, it has developed a comprehensive product portfolio encompassing cobots and core motion components. Its offerings address diverse industrial automation needs across sectors such as 3C electronics, automotive, healthcare and metal processing, logistics, as well as the demand for precision motion components in humanoid robotics.","GF Fund Management, Hillhouse Investment Group, Morgan Stanley (NYS: MS), Ningbo Meishan Free Trade Port Haojun Investment Management, RICHFIRM (HONG KONG) DEVELOPMENT, Samson Group (Hong Kong)",Other,N/A,Collaborative robotics (cobots) hardware manufacturer for industrial automation; physical hardware company not triggered by any shock catalyst.
322794-28T,Seiwa Holdings (TKS: 523A),Manufacturing,Japan,1995,Nagoya,East Asia,Asia,"Nagoya, Japan",Holding Companies,Other Financial Services,Financial Services,27-Mar-26,31,IPO,148.57,36.87,"Seiwa Holdings Co Ltd is focused on the promotion of business succession in the manufacturing sector, and Group management through platformization.",,Other,N/A,Japanese manufacturing holding company focused on business succession; traditional industrial holding not triggered by any shock catalyst.
311666-86T,Xanadu,"Artificial Intelligence & Machine Learning, CloudTech & DevOps",Canada,2016,Toronto,North America,Americas,"Toronto, Canada",Other Hardware,Computer Hardware,Information Technology,27-Mar-26,10,Reverse Merger,3600,241.22,"Developer of photonic quantum computing hardware and a full-stack quantum software ecosystem intended to accelerate the discovery and implementation of practical quantum algorithms. The company's platform provides both quantum hardware, specifically on-chip error-resistant photonic qubits, and a comprehensive quantum software stack that includes a library of tools for application development and a compiler for just-in-time optimization of quantum-classical workflows, enabling scientific researchers and corporate development teams to explore novel computational methods and achieve practical results in fields like quantum chemistry, machine learning, and optimization.",Crane Harbor Acquisition,Other,N/A,Photonic quantum computing hardware and software company; quantum computing is a deep-tech category not captured by any shock catalyst in the typology.
291923-20T,BockchAIn Digital Infrastructure (ASE: AIB),"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech",United States,,,North America,Americas,SC,Systems and Information Management,IT Services,Information Technology,27-Mar-26,,Reverse Merger,215,,,Signing Day Sports(Daniel Nelson),Technology Shock,Blockchain / Crypto,Blockchain and AI digital infrastructure company; business model directly built on blockchain/cryptocurrency technology.
